algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
kKaHyPar-Eco,192bit.mtx.hgr,no,no,7,4,0.03,0.0298158,26.2974,km1,16926,12716,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,8,4,0.03,0.0298158,26.7013,km1,16929,12718,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,9,4,0.03,0.0298158,30.3841,km1,16903,12730,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,0,64,0.03,0.0280374,39.0979,km1,57452,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,1,64,0.03,0.0280374,38.9531,km1,57592,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,2,64,0.03,0.0280374,40.2111,km1,57284,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,3,64,0.03,0.0280374,38.6786,km1,57534,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,4,64,0.03,0.0280374,39.3953,km1,57501,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,5,64,0.03,0.0280374,39.9959,km1,57258,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,6,64,0.03,0.0280374,39.8333,km1,57362,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,7,64,0.03,0.0280374,39.6021,km1,57242,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,8,64,0.03,0.0280374,39.6598,km1,57532,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,9,64,0.03,0.0280374,39.6625,km1,57236,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,0,8,0.03,0.0298071,28.0097,km1,27006,13607,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,1,8,0.03,0.0298071,28.0255,km1,27060,13609,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,2,8,0.03,0.0298071,28.0515,km1,27225,13616,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,3,8,0.03,0.0298071,42.6305,km1,27327,13600,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,4,8,0.03,0.0298071,36.4222,km1,27227,13618,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,5,8,0.03,0.0298071,33.6815,km1,26908,13616,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,6,8,0.03,0.0298071,30.9983,km1,26850,13603,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,7,8,0.03,0.0298071,38.6511,km1,26692,13602,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,8,8,0.03,0.0298071,33.4311,km1,26782,13610,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,9,8,0.03,0.0298071,38.0363,km1,26839,13617,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,0,128,0.03,0.0290038,135,km1,68049,51779,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,1,128,0.03,0.0290038,107.406,km1,68671,52156,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,2,128,0.03,0.0290038,127.101,km1,68293,51828,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,3,128,0.03,0.0290038,123.154,km1,67847,51485,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,4,128,0.03,0.0290038,121.563,km1,68155,51653,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,5,128,0.03,0.0290038,118.996,km1,68227,51839,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,6,128,0.03,0.0290038,125.047,km1,68097,51733,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,7,128,0.03,0.0290038,122.957,km1,68141,51728,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,8,128,0.03,0.0290038,115.615,km1,67670,51378,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,9,128,0.03,0.0290038,120.332,km1,68192,51670,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,0,16,0.03,0.0296343,38.4844,km1,26651,23650,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,1,16,0.03,0.0294767,41.2334,km1,26653,23747,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,2,16,0.03,0.0290038,45.371,km1,26867,23913,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,3,16,0.03,0.0274275,41.0264,km1,26555,23590,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,4,16,0.03,0.0285309,42.2851,km1,26930,23953,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,5,16,0.03,0.0297919,44.1174,km1,26770,23773,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,6,16,0.03,0.0282156,42.618,km1,26800,23846,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,7,16,0.03,0.0291614,40.4095,km1,26938,23943,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,8,16,0.03,0.0291614,43.422,km1,26342,23393,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,9,16,0.03,0.0231715,48.3966,km1,27208,24274,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,0,2,0.03,0.0299728,22.2067,km1,3890,3890,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,1,2,0.03,0.0299925,20.8458,km1,3886,3886,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,2,2,0.03,0.0299728,21.6212,km1,3872,3872,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,3,2,0.03,0.0299728,18.1732,km1,3912,3912,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,4,2,0.03,0.029894,15.4008,km1,3890,3890,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,5,2,0.03,0.0299137,17.7674,km1,3880,3880,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,6,2,0.03,0.0299531,25.8049,km1,3890,3890,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,7,2,0.03,0.0299925,19.7144,km1,3873,3873,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,8,2,0.03,0.0299334,18.732,km1,3875,3875,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,9,2,0.03,0.0298152,19.4219,km1,3877,3877,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,0,32,0.03,0.0299496,62.9865,km1,37505,32030,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,1,32,0.03,0.0290038,62.653,km1,37559,32006,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,2,32,0.03,0.0296343,54.7672,km1,37550,31996,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,3,32,0.03,0.0290038,65.3693,km1,36780,31392,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,4,32,0.03,0.0286885,53.6803,km1,37437,31920,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,5,32,0.03,0.028058,56.9461,km1,36494,31109,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,6,32,0.03,0.0290038,67.4398,km1,37295,31789,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,7,32,0.03,0.0299496,58.6836,km1,37836,32186,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,8,32,0.03,0.0299496,58.1236,km1,37260,31738,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,9,32,0.03,0.0296343,65.9541,km1,37425,31948,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,0,4,0.03,0.0294407,14.9439,km1,10569,10351,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,1,4,0.03,0.0299531,15.6215,km1,10555,10346,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,2,4,0.03,0.0299137,14.6083,km1,10605,10394,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,3,4,0.03,0.0299137,13.6637,km1,10525,10297,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,4,4,0.03,0.029559,19.334,km1,10396,10182,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,5,4,0.03,0.0299137,15.9593,km1,10748,10518,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,6,4,0.03,0.0298743,17.4318,km1,11014,10782,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,7,4,0.03,0.0292831,16.0149,km1,10548,10318,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,8,4,0.03,0.0299137,16.5693,km1,10364,10147,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,9,4,0.03,0.0297166,16.7229,km1,10596,10384,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,0,64,0.03,0.0296343,90.7968,km1,50361,40845,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,1,64,0.03,0.0296343,90.9403,km1,50857,41243,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,2,64,0.03,0.0296343,88.8818,km1,50473,40920,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,3,64,0.03,0.0296343,92.7012,km1,51013,41279,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,4,64,0.03,0.0296343,76.9021,km1,50809,41134,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,5,64,0.03,0.0296343,83.7014,km1,51159,41404,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,6,64,0.03,0.0296343,80.5804,km1,50672,41016,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,7,64,0.03,0.0296343,81.7962,km1,50370,40831,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,8,64,0.03,0.0296343,91.3617,km1,50406,40906,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,9,64,0.03,0.0296343,82.6644,km1,50863,41188,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,0,8,0.03,0.0256168,28.1048,km1,18483,17114,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,1,8,0.03,0.0294002,26.6775,km1,18618,17249,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,2,8,0.03,0.0284543,26.9094,km1,18404,17029,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,3,8,0.03,0.0236463,28.1085,km1,18197,16890,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,4,8,0.03,0.0291637,29.3202,km1,18509,17129,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,5,8,0.03,0.0293214,22.5119,km1,18390,17034,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,6,8,0.03,0.0235674,26.0398,km1,18568,17173,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,7,8,0.03,0.0285331,26.6952,km1,18466,17144,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,8,8,0.03,0.0269567,29.9826,km1,18410,17000,no
kKaHyPar-Eco,2cubes_sphere.mtx.hgr,no,no,9,8,0.03,0.0245921,26.776,km1,18381,17024,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,0,128,0.03,0.0283688,9.94952,km1,15553,13961,no
