algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaFFPa-Strong,amazon-2008.graph,no,10,64,0.03,1,0.029849999999999932,20582.2,km1,350673,350673,no
KaFFPa-Strong,amazon-2008.graph,yes,1,64,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-Strong,amazon-2008.graph,no,2,64,0.03,1,0.029849999999999932,24200.0,km1,350241,350241,no
KaFFPa-Strong,amazon-2008.graph,no,3,64,0.03,1,0.029849999999999932,20274.5,km1,348615,348615,no
KaFFPa-Strong,amazon-2008.graph,no,4,64,0.03,1,0.029849999999999932,18357.1,km1,349517,349517,no
KaFFPa-Strong,amazon-2008.graph,no,5,64,0.03,1,0.029849999999999932,22823.3,km1,348596,348596,no
KaFFPa-Strong,amazon-2008.graph,no,6,64,0.03,1,0.029849999999999932,24585.8,km1,349313,349313,no
KaFFPa-Strong,amazon-2008.graph,no,7,64,0.03,1,0.029849999999999932,20429.6,km1,348380,348380,no
KaFFPa-Strong,amazon-2008.graph,no,8,64,0.03,1,0.029849999999999932,24317.4,km1,346894,346894,no
KaFFPa-Strong,amazon-2008.graph,no,9,64,0.03,1,0.029849999999999932,19850.7,km1,349925,349925,no
KaFFPa-Strong,amazon-2008.graph,no,10,8,0.03,1,0.029979999999999896,995.946,km1,182901,182901,no
KaFFPa-Strong,amazon-2008.graph,no,1,8,0.03,1,0.029979999999999896,1470.47,km1,183090,183090,no
KaFFPa-Strong,amazon-2008.graph,no,2,8,0.03,1,0.029979999999999896,1520.55,km1,185399,185399,no
KaFFPa-Strong,amazon-2008.graph,no,3,8,0.03,1,0.029979999999999896,1391.34,km1,182846,182846,no
KaFFPa-Strong,amazon-2008.graph,no,4,8,0.03,1,0.029979999999999896,1697.71,km1,185027,185027,no
KaFFPa-Strong,amazon-2008.graph,no,5,8,0.03,1,0.029979999999999896,1858.26,km1,183739,183739,no
KaFFPa-Strong,amazon-2008.graph,no,6,8,0.03,1,0.029979999999999896,1537.4,km1,179407,179407,no
KaFFPa-Strong,amazon-2008.graph,no,7,8,0.03,1,0.029979999999999896,1502.09,km1,183848,183848,no
KaFFPa-Strong,amazon-2008.graph,no,8,8,0.03,1,0.029979999999999896,1648.97,km1,185038,185038,no
KaFFPa-Strong,amazon-2008.graph,no,9,8,0.03,1,0.029979999999999896,1030.5,km1,181346,181346,no
KaFFPa-Strong,as-22july06.graph,no,10,128,0.03,1,0.022219999999999906,342.462,km1,23881,23881,no
KaFFPa-Strong,as-22july06.graph,no,1,128,0.03,1,0.022219999999999906,267.141,km1,24351,24351,no
KaFFPa-Strong,as-22july06.graph,no,2,128,0.03,1,0.022219999999999906,337.295,km1,23840,23840,no
KaFFPa-Strong,as-22july06.graph,no,3,128,0.03,1,0.022219999999999906,252.516,km1,23924,23924,no
KaFFPa-Strong,as-22july06.graph,no,4,128,0.03,1,0.022219999999999906,308.078,km1,24058,24058,no
KaFFPa-Strong,as-22july06.graph,no,5,128,0.03,1,0.022219999999999906,205.233,km1,23865,23865,no
KaFFPa-Strong,as-22july06.graph,no,6,128,0.03,1,0.022219999999999906,255.961,km1,24030,24030,no
KaFFPa-Strong,as-22july06.graph,no,7,128,0.03,1,0.022219999999999906,323.962,km1,24150,24150,no
KaFFPa-Strong,as-22july06.graph,no,8,128,0.03,1,0.022219999999999906,371.221,km1,23952,23952,no
KaFFPa-Strong,as-22july06.graph,no,9,128,0.03,1,0.022219999999999906,216.334,km1,24113,24113,no
KaFFPa-Strong,as-22july06.graph,no,10,16,0.03,1,0.029249999999999998,114.493,km1,14223,14223,no
KaFFPa-Strong,as-22july06.graph,no,1,16,0.03,1,0.029249999999999998,70.4258,km1,14497,14497,no
KaFFPa-Strong,as-22july06.graph,no,2,16,0.03,1,0.029249999999999998,90.4725,km1,14295,14295,no
KaFFPa-Strong,as-22july06.graph,no,3,16,0.03,1,0.029249999999999998,86.0881,km1,13794,13794,no
KaFFPa-Strong,as-22july06.graph,no,4,16,0.03,1,0.029249999999999998,96.8882,km1,14004,14004,no
KaFFPa-Strong,as-22july06.graph,no,5,16,0.03,1,0.029249999999999998,97.3978,km1,14164,14164,no
KaFFPa-Strong,as-22july06.graph,no,6,16,0.03,1,0.029249999999999998,125.391,km1,14021,14021,no
KaFFPa-Strong,as-22july06.graph,no,7,16,0.03,1,0.029249999999999998,110.523,km1,14429,14429,no
KaFFPa-Strong,as-22july06.graph,no,8,16,0.03,1,0.029249999999999998,128.319,km1,14007,14007,no
KaFFPa-Strong,as-22july06.graph,no,9,16,0.03,1,0.029249999999999998,95.9094,km1,14501,14501,no
KaFFPa-Strong,as-22july06.graph,no,10,2,0.03,1,0.010280000000000067,49.6404,km1,3710,3710,no
KaFFPa-Strong,as-22july06.graph,no,1,2,0.03,1,0.015940000000000065,45.9012,km1,3941,3941,no
KaFFPa-Strong,as-22july06.graph,no,2,2,0.03,1,0.02124999999999999,50.2419,km1,3746,3746,no
KaFFPa-Strong,as-22july06.graph,no,3,2,0.03,1,0.0,50.7093,km1,3811,3811,no
KaFFPa-Strong,as-22july06.graph,no,4,2,0.03,1,0.029870000000000063,49.032,km1,4508,4508,no
KaFFPa-Strong,as-22july06.graph,no,5,2,0.03,1,0.029870000000000063,48.7675,km1,4436,4436,no
KaFFPa-Strong,as-22july06.graph,no,6,2,0.03,1,8.999999999992347e-05,48.397,km1,4029,4029,no
KaFFPa-Strong,as-22july06.graph,no,7,2,0.03,1,0.02970000000000006,49.1207,km1,4514,4514,no
KaFFPa-Strong,as-22july06.graph,no,8,2,0.03,1,0.00025999999999992696,51.955,km1,3635,3635,no
KaFFPa-Strong,as-22july06.graph,no,9,2,0.03,1,0.029789999999999983,47.8904,km1,4577,4577,no
KaFFPa-Strong,as-22july06.graph,no,10,32,0.03,1,0.027859999999999996,117.404,km1,17389,17389,no
KaFFPa-Strong,as-22july06.graph,no,1,32,0.03,1,0.027859999999999996,299.139,km1,16474,16474,no
KaFFPa-Strong,as-22july06.graph,no,2,32,0.03,1,0.027859999999999996,272.749,km1,17187,17187,no
KaFFPa-Strong,as-22july06.graph,no,3,32,0.03,1,0.027859999999999996,222.076,km1,17246,17246,no
KaFFPa-Strong,as-22july06.graph,no,4,32,0.03,1,0.027859999999999996,231.988,km1,16764,16764,no
KaFFPa-Strong,as-22july06.graph,no,5,32,0.03,1,0.027859999999999996,191.679,km1,16833,16833,no
KaFFPa-Strong,as-22july06.graph,no,6,32,0.03,1,0.027859999999999996,265.272,km1,16502,16502,no
KaFFPa-Strong,as-22july06.graph,no,7,32,0.03,1,0.027859999999999996,297.615,km1,16983,16983,no
KaFFPa-Strong,as-22july06.graph,no,8,32,0.03,1,0.027859999999999996,270.229,km1,16764,16764,no
KaFFPa-Strong,as-22july06.graph,no,9,32,0.03,1,0.027859999999999996,124.817,km1,17412,17412,no
