algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
rKaHyPar,192bit.mtx.hgr,no,no,2,64,0.03,0.0186916,10.4859,cut,84430,13660,no
rKaHyPar,192bit.mtx.hgr,no,no,3,64,0.03,0.0186916,7.6561,cut,84610,13655,no
rKaHyPar,192bit.mtx.hgr,no,no,4,64,0.03,0.0186916,7.22099,cut,84528,13658,no
rKaHyPar,192bit.mtx.hgr,no,no,5,64,0.03,0.0186916,10.4294,cut,84334,13659,no
rKaHyPar,192bit.mtx.hgr,no,no,6,64,0.03,0.0186916,9.90457,cut,83793,13657,no
rKaHyPar,192bit.mtx.hgr,no,no,7,64,0.03,0.0280374,10.4346,cut,87146,13660,no
rKaHyPar,192bit.mtx.hgr,no,no,8,64,0.03,0.0186916,7.40358,cut,87307,13661,no
rKaHyPar,192bit.mtx.hgr,no,no,9,64,0.03,0.0140187,7.34671,cut,85216,13655,no
rKaHyPar,192bit.mtx.hgr,no,no,0,8,0.03,0.0292227,10.0089,cut,39511,13156,no
rKaHyPar,192bit.mtx.hgr,no,no,1,8,0.03,0.0292227,10.0057,cut,39374,13114,no
rKaHyPar,192bit.mtx.hgr,no,no,2,8,0.03,0.0274693,10.2187,cut,39660,13154,no
rKaHyPar,192bit.mtx.hgr,no,no,3,8,0.03,0.0298071,6.95636,cut,39358,13103,no
rKaHyPar,192bit.mtx.hgr,no,no,4,8,0.03,0.0298071,7.19473,cut,39744,13160,no
rKaHyPar,192bit.mtx.hgr,no,no,5,8,0.03,0.0292227,7.0422,cut,39149,13094,no
rKaHyPar,192bit.mtx.hgr,no,no,6,8,0.03,0.0292227,10.0546,cut,39482,13118,no
rKaHyPar,192bit.mtx.hgr,no,no,7,8,0.03,0.0298071,10.1471,cut,39911,13161,no
rKaHyPar,192bit.mtx.hgr,no,no,8,8,0.03,0.0292227,6.98412,cut,39810,13154,no
rKaHyPar,192bit.mtx.hgr,no,no,9,8,0.03,0.0298071,10.0217,cut,39788,13153,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,128,0.03,0.0290038,55.341,cut,124492,52368,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,128,0.03,0.0290038,40.3412,cut,128278,52549,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,128,0.03,0.0290038,40.4269,cut,126819,52294,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,128,0.03,0.0290038,39.8449,cut,124266,52405,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,128,0.03,0.0290038,39.8468,cut,126585,52599,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,128,0.03,0.0290038,55.5807,cut,124585,52187,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,128,0.03,0.0290038,40.108,cut,123542,52285,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,128,0.03,0.0290038,40.2378,cut,126818,52130,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,128,0.03,0.0290038,55.5916,cut,128230,52428,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,16,0.03,0.0296343,46.4275,cut,40873,24821,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,16,0.03,0.0299496,36.2928,cut,41682,24786,no
