"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
hMetis-K,2D_54019_highK.mtx.hgr,no,3,16,0.03,1,0.010364228605270975,27016.41642856598,km1,4537,4387,no
hMetis-K,2D_54019_highK.mtx.hgr,no,4,16,0.03,1,0.02072845721054195,7917.166374206543,km1,4515,4383,no
hMetis-K,2D_54019_highK.mtx.hgr,no,5,16,0.03,1,0.018063369854900868,16560.19073200226,km1,4542,4395,no
hMetis-K,2D_54019_highK.mtx.hgr,no,1,2,0.03,1,0.010144390966308814,13865.500336885452,km1,464,464,no
hMetis-K,2D_54019_highK.mtx.hgr,no,2,2,0.03,1,0.022251018141429046,2348.8276257514954,km1,464,464,no
hMetis-K,2D_54019_highK.mtx.hgr,no,3,2,0.03,1,0.02236208811551288,14386.750123023987,km1,462,462,no
hMetis-K,2D_54019_highK.mtx.hgr,no,4,2,0.03,1,0.0005923731951129607,5020.4580500125885,km1,464,464,no
hMetis-K,2D_54019_highK.mtx.hgr,no,5,2,0.03,1,0.021473528322843327,19687.92257666588,km1,463,463,no
hMetis-K,2D_54019_highK.mtx.hgr,no,1,32,0.03,1,0.023090586145648295,1756.7902884483337,km1,7111,6748,no
hMetis-K,2D_54019_highK.mtx.hgr,no,2,32,0.03,1,0.023090586145648295,11981.155321121216,km1,7100,6734,no
hMetis-K,2D_54019_highK.mtx.hgr,no,3,32,0.03,1,0.019538188277087087,16543.695281982422,km1,7125,6774,no
hMetis-K,2D_54019_highK.mtx.hgr,no,4,32,0.03,1,0.023090586145648295,20749.758289575577,km1,7095,6744,no
hMetis-K,2D_54019_highK.mtx.hgr,no,5,32,0.03,1,0.017761989342806483,1622.041166305542,km1,7112,6774,no
hMetis-K,2D_54019_highK.mtx.hgr,no,1,4,0.03,1,0.006960385042576789,9221.14024734497,km1,1243,1225,no
hMetis-K,2D_54019_highK.mtx.hgr,no,2,4,0.03,1,0.00273972602739736,7450.357436418533,km1,1243,1225,no
hMetis-K,2D_54019_highK.mtx.hgr,no,3,4,0.03,1,0.004961125509070685,27767.681603193283,km1,1242,1224,no
hMetis-K,2D_54019_highK.mtx.hgr,no,4,4,0.03,1,0.001406886338393143,8285.423342227936,km1,1243,1225,no
hMetis-K,2D_54019_highK.mtx.hgr,no,5,4,0.03,1,0.012736023694927878,5093.048236608505,km1,1244,1226,no
hMetis-K,2D_54019_highK.mtx.hgr,no,1,64,0.03,1,0.022485207100591653,8358.288712263107,km1,10899,10133,no
hMetis-K,2D_54019_highK.mtx.hgr,no,2,64,0.03,1,0.026035502958579926,4320.2302412986755,km1,10895,10111,no
hMetis-K,2D_54019_highK.mtx.hgr,no,3,64,0.03,1,0.02721893491124261,9750.994467258453,km1,10899,10112,no
hMetis-K,2D_54019_highK.mtx.hgr,no,4,64,0.03,1,0.031952662721893565,24519.115938186646,km1,10883,10115,no
hMetis-K,2D_54019_highK.mtx.hgr,no,5,64,0.03,1,0.02721893491124261,27643.266493320465,km1,10894,10122,no
hMetis-K,2D_54019_highK.mtx.hgr,no,1,8,0.03,1,0.025322079075966286,6948.505118846893,km1,2644,2587,no
hMetis-K,2D_54019_highK.mtx.hgr,no,2,8,0.03,1,0.002221235006663713,7528.446538925171,km1,2643,2585,no
hMetis-K,2D_54019_highK.mtx.hgr,no,3,8,0.03,1,0.02013919739375103,6876.936128616333,km1,2645,2590,no
hMetis-K,2D_54019_highK.mtx.hgr,no,4,8,0.03,1,0.012142751369761617,26446.384729862213,km1,2652,2594,no
hMetis-K,2D_54019_highK.mtx.hgr,no,5,8,0.03,1,0.007700281356434191,4644.545950889587,km1,2653,2595,no
hMetis-K,af_shell1.mtx.hgr,no,1,128,0.03,1,0.017743979721166037,15378.858664274216,km1,64080,61245,no
hMetis-K,af_shell1.mtx.hgr,no,2,128,0.03,1,0.0076045627376426506,22772.488390922546,km1,64095,61270,no
hMetis-K,af_shell1.mtx.hgr,no,3,128,0.03,1,0.015209125475285079,5275.054565906525,km1,64040,61160,no
hMetis-K,af_shell1.mtx.hgr,no,4,128,0.03,1,0.015209125475285079,291.55119705200195,km1,63930,61050,no
hMetis-K,af_shell1.mtx.hgr,no,5,128,0.03,1,0.011406844106463865,4328.533217430115,km1,63975,61080,no
hMetis-K,af_shell1.mtx.hgr,no,1,16,0.03,1,0.013500665525765454,617.3847358226776,km1,16580,16385,no
