"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
hMetis-R,2D_54019_highK.mtx.hgr,no,3,16,0.03,1,0.012733195143618703,14662.411394357681,km1,4484,4345,no
hMetis-R,2D_54019_highK.mtx.hgr,no,4,16,0.03,1,0.010956470239857907,2347.9739861488342,km1,4526,4387,no
hMetis-R,2D_54019_highK.mtx.hgr,no,5,16,0.03,1,0.006514657980456029,18430.76925587654,km1,4531,4395,no
hMetis-R,2D_54019_highK.mtx.hgr,no,1,2,0.03,1,0.024805627545353648,5977.554939508438,km1,460,460,no
hMetis-R,2D_54019_highK.mtx.hgr,no,2,2,0.03,1,0.023139577934098376,7034.945755720139,km1,460,460,no
hMetis-R,2D_54019_highK.mtx.hgr,no,3,2,0.03,1,0.026360607182525087,538.1748101711273,km1,460,460,no
hMetis-R,2D_54019_highK.mtx.hgr,no,4,2,0.03,1,0.024583487597186204,1278.967874288559,km1,460,460,no
hMetis-R,2D_54019_highK.mtx.hgr,no,5,2,0.03,1,0.02491669751943726,2226.735932826996,km1,460,460,no
hMetis-R,2D_54019_highK.mtx.hgr,no,1,32,0.03,1,0.007104795737122638,23051.42323589325,km1,7123,6789,no
hMetis-R,2D_54019_highK.mtx.hgr,no,2,32,0.03,1,0.005328596802841812,8039.597235918045,km1,7136,6796,no
hMetis-R,2D_54019_highK.mtx.hgr,no,3,32,0.03,1,0.015985790408525657,27572.377833366394,km1,7131,6783,no
hMetis-R,2D_54019_highK.mtx.hgr,no,4,32,0.03,1,0.010657193605683846,8254.601703882217,km1,7104,6763,no
hMetis-R,2D_54019_highK.mtx.hgr,no,5,32,0.03,1,0.007104795737122638,10287.204728841782,km1,7091,6757,no
hMetis-R,2D_54019_highK.mtx.hgr,no,1,4,0.03,1,0.014735283228433982,14210.324008226395,km1,1240,1222,no
hMetis-R,2D_54019_highK.mtx.hgr,no,2,4,0.03,1,0.008071084783413562,3415.2996385097504,km1,1241,1223,no
hMetis-R,2D_54019_highK.mtx.hgr,no,3,4,0.03,1,0.019178082191780854,9234.79172539711,km1,1241,1223,no
hMetis-R,2D_54019_highK.mtx.hgr,no,4,4,0.03,1,0.020955201777119514,24963.91574192047,km1,1240,1222,no
hMetis-R,2D_54019_highK.mtx.hgr,no,5,4,0.03,1,0.014291003332099317,1985.2006783485413,km1,1241,1223,no
hMetis-R,2D_54019_highK.mtx.hgr,no,1,64,0.03,1,0.004733727810650956,11244.860897541046,km1,10720,9969,no
hMetis-R,2D_54019_highK.mtx.hgr,no,2,64,0.03,1,0.01183431952662728,15871.746975660324,km1,10771,10034,no
hMetis-R,2D_54019_highK.mtx.hgr,no,3,64,0.03,1,0.008284023668639007,25538.011563777924,km1,10736,9991,no
hMetis-R,2D_54019_highK.mtx.hgr,no,4,64,0.03,1,0.008284023668639007,20886.158144950867,km1,10743,10007,no
hMetis-R,2D_54019_highK.mtx.hgr,no,5,64,0.03,1,0.01183431952662728,18685.203186035156,km1,10771,10017,no
hMetis-R,2D_54019_highK.mtx.hgr,no,1,8,0.03,1,0.002221235006663713,4402.120983839035,km1,2618,2563,no
hMetis-R,2D_54019_highK.mtx.hgr,no,2,8,0.03,1,0.01332741003998228,11728.548035144806,km1,2611,2556,no
hMetis-R,2D_54019_highK.mtx.hgr,no,3,8,0.03,1,0.0026654820079965447,6573.29211807251,km1,2619,2567,no
hMetis-R,2D_54019_highK.mtx.hgr,no,4,8,0.03,1,0.01584480971420099,6833.33388710022,km1,2619,2567,no
hMetis-R,2D_54019_highK.mtx.hgr,no,5,8,0.03,1,0.010661928031985735,26911.395479679108,km1,2613,2558,no
hMetis-R,af_shell1.mtx.hgr,no,1,128,0.03,1,0.02281368821292773,3506.998358488083,km1,65040,62205,no
hMetis-R,af_shell1.mtx.hgr,no,2,128,0.03,1,0.02154626108998725,17373.137875795364,km1,64935,62085,no
hMetis-R,af_shell1.mtx.hgr,no,3,128,0.03,1,0.020278833967046994,6085.824564933777,km1,65010,62175,no
hMetis-R,af_shell1.mtx.hgr,no,4,128,0.03,1,0.017743979721166037,16634.733425617218,km1,65080,62305,no
hMetis-R,af_shell1.mtx.hgr,no,5,128,0.03,1,0.02408111533586821,10233.503509044647,km1,64890,62025,no
hMetis-R,af_shell1.mtx.hgr,no,1,16,0.03,1,0.029504975597388627,3061.781634092331,km1,16320,16170,no
hMetis-R,af_shell1.mtx.hgr,no,2,16,0.03,1,0.022691259428281763,4613.726775884628,km1,16330,16180,no
hMetis-R,af_shell1.mtx.hgr,no,3,16,0.03,1,0.019205172085947853,21534.796267032623,km1,16320,16140,no
hMetis-R,af_shell1.mtx.hgr,no,4,16,0.03,1,0.013659124041325965,25974.912912607193,km1,16270,16105,no
hMetis-R,af_shell1.mtx.hgr,no,5,16,0.03,1,0.025068137161690984,3495.7572000026703,km1,16300,16150,no
hMetis-R,af_shell1.mtx.hgr,no,1,2,0.03,1,0.004088294483971744,142.51097321510315,km1,1770,1770,no
hMetis-R,af_shell1.mtx.hgr,no,2,2,0.03,1,0.004088294483971744,146.9882264137268,km1,1770,1770,no
hMetis-R,af_shell1.mtx.hgr,no,3,2,0.03,1,0.004088294483971744,154.37042260169983,km1,1770,1770,no
hMetis-R,af_shell1.mtx.hgr,no,4,2,0.03,1,0.004088294483971744,147.70452761650085,km1,1770,1770,no
hMetis-R,af_shell1.mtx.hgr,no,5,2,0.03,1,0.004088294483971744,220.67405891418457,km1,1770,1770,no
hMetis-R,af_shell1.mtx.hgr,no,1,32,0.03,1,0.026494263801736695,14378.812089920044,km1,27360,26850,no
hMetis-R,af_shell1.mtx.hgr,no,2,32,0.03,1,0.029346517081827894,6335.043117046356,km1,27285,26775,no
hMetis-R,af_shell1.mtx.hgr,no,3,32,0.03,1,0.01983900614819034,472.5945842266083,km1,27300,26790,no
hMetis-R,af_shell1.mtx.hgr,no,4,32,0.03,1,0.017937503961462875,8195.053473472595,km1,27305,26810,no
hMetis-R,af_shell1.mtx.hgr,no,5,32,0.03,1,0.022057425366039274,10227.196078300476,km1,27410,26900,no
hMetis-R,af_shell1.mtx.hgr,no,1,4,0.03,1,0.01795363430364305,242.63049459457397,km1,4400,4370,no
hMetis-R,af_shell1.mtx.hgr,no,2,4,0.03,1,0.02254900407244831,235.36713528633118,km1,4400,4370,no
hMetis-R,af_shell1.mtx.hgr,no,3,4,0.03,1,0.018983630975961452,237.34436702728271,km1,4400,4370,no
hMetis-R,af_shell1.mtx.hgr,no,4,4,0.03,1,0.019023246232588997,495.32876920700073,km1,4400,4370,no
hMetis-R,af_shell1.mtx.hgr,no,5,4,0.03,1,0.012249037349263858,254.06924152374268,km1,4400,4370,no
hMetis-R,af_shell1.mtx.hgr,no,1,64,0.03,1,0.021675751045759917,4125.910455226898,km1,42805,41575,no
hMetis-R,af_shell1.mtx.hgr,no,2,64,0.03,1,0.02294333882621369,1553.0003461837769,km1,42785,41570,no
hMetis-R,af_shell1.mtx.hgr,no,3,64,0.03,1,0.01977436937507915,26028.660102128983,km1,42765,41550,no
hMetis-R,af_shell1.mtx.hgr,no,4,64,0.03,1,0.018506781594625377,19678.51097011566,km1,42790,41575,no
hMetis-R,af_shell1.mtx.hgr,no,5,64,0.03,1,0.018506781594625377,6239.0752029418945,km1,42680,41495,no
hMetis-R,af_shell1.mtx.hgr,no,1,8,0.03,1,0.01961747508200351,14044.312811613083,km1,8505,8475,no
hMetis-R,af_shell1.mtx.hgr,no,2,8,0.03,1,0.027461295894274818,17233.559792995453,km1,8505,8475,no
hMetis-R,af_shell1.mtx.hgr,no,3,8,0.03,1,0.027382065381019505,6099.163573503494,km1,8505,8475,no
hMetis-R,af_shell1.mtx.hgr,no,4,8,0.03,1,0.023737461771277335,7713.0010323524475,km1,8505,8475,no
hMetis-R,af_shell1.mtx.hgr,no,5,8,0.03,1,0.023816692284532648,3061.094720363617,km1,8505,8475,no
hMetis-R,Andrews.mtx.hgr,no,1,128,0.03,1,0.023454157782516027,4431.553414583206,km1,88520,48760,no
hMetis-R,Andrews.mtx.hgr,no,2,128,0.03,1,0.023454157782516027,9580.057203531265,km1,88369,48662,no
hMetis-R,Andrews.mtx.hgr,no,3,128,0.03,1,0.02771855010660973,20039.902925014496,km1,88557,48669,no
hMetis-R,Andrews.mtx.hgr,no,4,128,0.03,1,0.02558635394456288,5882.903394460678,km1,88568,48732,no
hMetis-R,Andrews.mtx.hgr,no,5,128,0.03,1,0.021321961620469176,18524.341286420822,km1,88562,48769,no
hMetis-R,Andrews.mtx.hgr,no,1,16,0.03,1,0.029066666666666574,28033.22141313553,km1,27634,22016,no
hMetis-R,Andrews.mtx.hgr,no,2,16,0.03,1,0.02960000000000007,8062.6741938591,km1,27658,22058,no
hMetis-R,Andrews.mtx.hgr,no,3,16,0.03,1,0.029333333333333433,15129.442629814148,km1,27599,22012,no
hMetis-R,Andrews.mtx.hgr,no,4,16,0.03,1,0.029066666666666574,20223.32604122162,km1,27653,22040,no
hMetis-R,Andrews.mtx.hgr,no,5,16,0.03,1,0.029066666666666574,28468.742586374283,km1,27648,22055,no
hMetis-R,Andrews.mtx.hgr,no,1,2,0.03,1,0.030000000000000027,36.361250162124634,km1,4025,4025,no
hMetis-R,Andrews.mtx.hgr,no,2,2,0.03,1,0.030000000000000027,877.2336919307709,km1,4025,4025,no
