"algorithm","graph","timeout","seed","k","epsilon","imbalance","totalPartitionTime","objective","km1","cut","failed"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",5,16,0.03,0.0278354,18659.7,"km1",4429,4290,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",1,2,0.03,0.0228064,3.04378,"km1",460,460,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",2,2,0.03,0.0228064,3.39471,"km1",460,460,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",3,2,0.03,0.0228064,3.39942,"km1",460,460,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",4,2,0.03,0.0228064,3.20946,"km1",460,460,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",5,2,0.03,0.0228064,2.89193,"km1",460,460,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",1,32,0.03,0.026643,24917.8,"km1",7064,6718,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",2,32,0.03,0.026643,5478.09,"km1",7069,6736,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",3,32,0.03,0.026643,1343.08,"km1",7014,6663,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",4,32,0.03,0.0230906,681.843,"km1",7069,6730,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",5,32,0.03,0.0284192,25862.7,"km1",7050,6720,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",1,4,0.03,0.0119956,4.33662,"km1",1242,1224,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",2,4,0.03,0.0119956,4.73194,"km1",1242,1224,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",3,4,0.03,0.0119956,4.86095,"km1",1242,1224,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",4,4,0.03,0.0119956,4.45389,"km1",1242,1224,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",5,4,0.03,0.0119956,4.38837,"km1",1242,1224,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",1,64,0.03,0.0295858,15263,"km1",10617,9860,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",2,64,0.03,0.0295858,15628.6,"km1",10643,9886,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",3,64,0.03,0.0295858,10756.8,"km1",10643,9918,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",4,64,0.03,0.0260355,23683.5,"km1",10615,9861,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",5,64,0.03,0.0260355,27547.6,"km1",10629,9885,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",1,8,0.03,0.017918,2041.64,"km1",2586,2531,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",2,8,0.03,0.0245817,15321.5,"km1",2586,2531,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",3,8,0.03,0.0242855,3675.84,"km1",2586,2531,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",4,8,0.03,0.0291722,19113.2,"km1",2585,2533,"no"
"KaHyPar-R","2D_54019_highK.mtx.hgr","no",5,8,0.03,0.017918,14463,"km1",2586,2531,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",1,128,0.03,0.0291508,10800.7,"km1",64945,62110,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",2,128,0.03,0.0291508,19178.4,"km1",64955,62135,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",3,128,0.03,0.0278834,14369.7,"km1",64930,62110,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",4,128,0.03,0.0291508,26673.4,"km1",64940,62105,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",5,128,0.03,0.0291508,5663.15,"km1",64830,61995,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",1,16,0.03,0.0291881,3528.51,"km1",16330,16180,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",2,16,0.03,0.0291881,5444.56,"km1",16330,16180,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",3,16,0.03,0.0291881,39.7747,"km1",16330,16180,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",4,16,0.03,0.0291881,20869.4,"km1",16325,16175,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",5,16,0.03,0.0291881,3304.61,"km1",16330,16180,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",1,2,0.03,0.00408829,8.38081,"km1",1770,1770,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",2,2,0.03,0.00408829,7.5076,"km1",1770,1770,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",3,2,0.03,0.00408829,7.10635,"km1",1770,1770,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",4,2,0.03,0.00408829,7.96926,"km1",1770,1770,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",5,2,0.03,0.00408829,7.79051,"km1",1770,1770,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",1,32,0.03,0.0271281,11075.2,"km1",27330,26835,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",2,32,0.03,0.0268112,9120.75,"km1",27325,26830,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",3,32,0.03,0.027445,12088.8,"km1",27320,26825,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",4,32,0.03,0.0280788,13278,"km1",27300,26805,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",5,32,0.03,0.0204728,19190.8,"km1",27320,26825,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",1,4,0.03,0.0180329,12.7501,"km1",4390,4360,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",2,4,0.03,0.0180329,20.1197,"km1",4390,4360,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",3,4,0.03,0.0180329,13.7577,"km1",4390,4360,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",4,4,0.03,0.0180329,12.9594,"km1",4390,4360,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",5,4,0.03,0.0180329,13.5906,"km1",4390,4360,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",1,64,0.03,0.0286475,3157.25,"km1",42775,41515,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",2,64,0.03,0.0267461,8795.81,"km1",42780,41520,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",3,64,0.03,0.0267461,14208.1,"km1",42765,41535,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",4,64,0.03,0.0267461,2006.78,"km1",42725,41480,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",5,64,0.03,0.0286475,20235.4,"km1",42760,41545,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",1,8,0.03,0.0288874,379.316,"km1",8465,8435,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",2,8,0.03,0.0288874,80.8348,"km1",8465,8435,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",3,8,0.03,0.0288874,171.148,"km1",8465,8435,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",4,8,0.03,0.0288874,140.718,"km1",8465,8435,"no"
"KaHyPar-R","af_shell1.mtx.hgr","no",5,8,0.03,0.0288874,13.7266,"km1",8465,8435,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",1,128,0.03,0.0298507,20038.5,"km1",87981,48551,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",2,128,0.03,0.0298507,10914.5,"km1",88159,48666,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",3,128,0.03,0.0298507,16433.6,"km1",88225,48661,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",4,128,0.03,0.0298507,11892.9,"km1",88264,48510,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",5,128,0.03,0.0298507,19042.7,"km1",88088,48373,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",1,16,0.03,0.0298667,19132.6,"km1",27263,21739,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",2,16,0.03,0.0298667,7601.27,"km1",27271,21478,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",3,16,0.03,0.0298667,24162.2,"km1",27166,21317,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",4,16,0.03,0.0298667,20003,"km1",27336,21711,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",5,16,0.03,0.0298667,6244.64,"km1",27179,21464,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",1,2,0.03,0.0295,11.8292,"km1",4024,4024,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",2,2,0.03,0.0295,11.7604,"km1",4024,4024,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",3,2,0.03,0.0295,11.9242,"km1",4024,4024,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",4,2,0.03,0.0295,11.4818,"km1",4024,4024,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",5,2,0.03,0.0295,19.908,"km1",4024,4024,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",1,32,0.03,0.0298667,28209.2,"km1",41672,30701,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",2,32,0.03,0.0298667,5325.17,"km1",41628,30708,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",3,32,0.03,0.0298667,11707,"km1",41521,30572,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",4,32,0.03,0.0298667,26198.7,"km1",41654,30801,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",5,32,0.03,0.0298667,27210.9,"km1",41564,30638,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",1,4,0.03,0.03,23812.9,"km1",9480,8580,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",2,4,0.03,0.03,6525.32,"km1",9484,8556,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",3,4,0.03,0.0298667,11086.4,"km1",9483,8581,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",4,4,0.03,0.03,5284.21,"km1",9479,8559,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",5,4,0.03,0.03,8991.15,"km1",9485,8565,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",1,64,0.03,0.0298507,1440.41,"km1",62441,40901,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",2,64,0.03,0.0298507,28145.8,"km1",62477,40813,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",3,64,0.03,0.0298507,19841.1,"km1",62513,40816,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",4,64,0.03,0.0298507,24963.1,"km1",62418,40745,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",5,64,0.03,0.0298507,27972.4,"km1",62466,40779,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",1,8,0.03,0.03,4367.54,"km1",16348,13619,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",2,8,0.03,0.03,14799.4,"km1",16943,14193,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",3,8,0.03,0.03,13040.2,"km1",16343,13624,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",4,8,0.03,0.03,3609.69,"km1",16341,13630,"no"
"KaHyPar-R","Andrews.mtx.hgr","no",5,8,0.03,0.03,21896.8,"km1",16663,13965,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",1,128,0.03,0.0284553,14104.9,"km1",10790,6373,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",2,128,0.03,0.0284553,15044.8,"km1",10773,6342,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",3,128,0.03,0.0284553,15080.6,"km1",10734,6284,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",4,128,0.03,0.0284553,14802.6,"km1",10751,6327,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",5,128,0.03,0.0284553,17278,"km1",10750,6265,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",1,16,0.03,0.0295617,7779.07,"km1",4420,3262,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",2,16,0.03,0.0295617,3557.54,"km1",4428,3280,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",3,16,0.03,0.0295617,3474.92,"km1",4434,3277,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",4,16,0.03,0.0295617,230.325,"km1",4466,3270,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",5,16,0.03,0.0295617,2752.47,"km1",4335,3187,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",1,2,0.03,0.0297004,2030.08,"km1",144,144,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",2,2,0.03,0.0298279,1854.86,"km1",146,146,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",3,2,0.03,0.0295092,20075.7,"km1",146,146,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",4,2,0.03,0.0292543,28574,"km1",145,145,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",5,2,0.03,0.0299554,20755.1,"km1",145,145,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",1,32,0.03,0.0295617,23183.9,"km1",6410,4438,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",2,32,0.03,0.0295617,16491.6,"km1",6395,4388,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",3,32,0.03,0.0295617,20420.8,"km1",6413,4461,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",4,32,0.03,0.0295617,2329.26,"km1",6424,4285,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",5,32,0.03,0.0295617,431.901,"km1",6395,4340,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",1,4,0.03,0.0299554,19236.8,"km1",951,867,"no"
"KaHyPar-R","as-caida.mtx.hgr","no",2,4,0.03,0.0297004,3972.56,"km1",943,857,"no"
