"graph","k","seed","epsilon","km1","imbalance","totalPartitionTime","failed","timeout","algorithm","objective","cut"
"ISPD98_ibm15.hgr",8,6,0.03,8119,0.03,98.99,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",8,7,0.03,8732,0.03,99.57,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",8,8,0.03,8522,0.03,98.79,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",8,9,0.03,8533,0.028,98.69,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",8,10,0.03,9011,0.03,97.91,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",16,1,0.03,12132,0.03,126.89,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",16,2,0.03,12002,0.03,125.87,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",16,3,0.03,11784,0.03,129.26,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",16,4,0.03,12262,0.03,127.22,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",16,5,0.03,10872,0.03,127.05,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",16,6,0.03,11238,0.03,126.99,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",16,7,0.03,12181,0.03,127.87,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",16,8,0.03,11798,0.03,127.47,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",16,9,0.03,11942,0.03,127.55,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",16,10,0.03,11498,0.03,126.44,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",32,1,0.03,17623,0.03,152.79,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",32,2,0.03,17643,0.03,153.38,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",32,3,0.03,18110,0.03,156.1,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",32,4,0.03,17773,0.03,153.27,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",32,5,0.03,18026,0.03,156.1,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",32,6,0.03,17708,0.03,155.02,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",32,7,0.03,18298,0.03,154.43,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",32,8,0.03,17509,0.03,153.45,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",32,9,0.03,17890,0.03,154.08,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",32,10,0.03,17152,0.03,154.11,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",64,1,0.03,25169,0.03,176.6,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",64,2,0.03,25201,0.03,194.96,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",64,3,0.03,25955,0.03,180.03,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",64,4,0.03,25902,0.03,177.29,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",64,5,0.03,25546,0.03,177.72,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",64,6,0.03,25926,0.03,178.06,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",64,7,0.03,26674,0.03,178.2,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",64,8,0.03,25677,0.03,178.8,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",64,9,0.03,25769,0.03,179.09,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",64,10,0.03,24867,0.03,177.81,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",128,1,0.03,36759,0.03,200.52,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",128,2,0.03,35885,0.03,198.45,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",128,3,0.03,36207,0.03,200.55,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",128,4,0.03,36714,0.03,198.99,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",128,5,0.03,36874,0.03,199.51,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",128,6,0.03,36092,0.03,200.23,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",128,7,0.03,36851,0.03,199.08,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",128,8,0.03,36642,0.03,200.35,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",128,9,0.03,36594,0.03,200.38,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm15.hgr",128,10,0.03,36289,0.03,198.87,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",2,1,0.03,2427,0.014,44.04,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",2,2,0.03,2045,0.027,41.84,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",2,3,0.03,2405,0.029,42.34,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",2,4,0.03,2417,0.005,43.93,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",2,5,0.03,2117,0.017,42.01,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",2,6,0.03,2039,0.028,41.32,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",2,7,0.03,2594,0.03,43.41,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",2,8,0.03,2377,0.03,44.79,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",2,9,0.03,2219,0.009,41.72,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",2,10,0.03,2597,0.009,43.55,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",4,1,0.03,4690,0.019,82.97,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",4,2,0.03,4641,0.024,81.3,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",4,3,0.03,4982,0.03,83.13,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",4,4,0.03,4662,0.028,84.15,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",4,5,0.03,4794,0.03,82.89,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",4,6,0.03,4684,0.03,80.11,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",4,7,0.03,4734,0.029,82.72,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",4,8,0.03,4749,0.029,81.79,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",4,9,0.03,4645,0.026,79.8,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",4,10,0.03,4794,0.025,83.05,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",8,1,0.03,7823,0.03,117.36,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",8,2,0.03,7560,0.028,118.05,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",8,3,0.03,7989,0.03,116.94,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",8,4,0.03,7876,0.03,119.74,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",8,5,0.03,7871,0.03,116.09,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",8,6,0.03,8216,0.03,115.42,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",8,7,0.03,8146,0.03,118.15,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",8,8,0.03,7895,0.03,118.05,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",8,9,0.03,7651,0.03,116.89,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",8,10,0.03,7716,0.03,120.42,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",16,1,0.03,12732,0.03,153.07,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",16,2,0.03,12683,0.03,152.5,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",16,3,0.03,13022,0.03,151.88,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",16,4,0.03,12895,0.03,154.63,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",16,5,0.03,11952,0.03,150.68,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",16,6,0.03,12767,0.03,150.73,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",16,7,0.03,13085,0.03,152.14,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",16,8,0.03,12716,0.03,153.73,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",16,9,0.03,12633,0.03,154.48,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",16,10,0.03,12359,0.03,154.55,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",32,1,0.03,19229,0.03,187.45,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",32,2,0.03,19323,0.03,185.69,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",32,3,0.03,19030,0.03,182.84,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",32,4,0.03,19318,0.03,185.91,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",32,5,0.03,19223,0.03,179.94,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",32,6,0.03,19242,0.03,183.62,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",32,7,0.03,19313,0.03,183.35,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",32,8,0.03,18880,0.03,182.7,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",32,9,0.03,19200,0.03,181.02,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",32,10,0.03,19566,0.03,184.86,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",64,1,0.03,28512,0.03,210.58,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",64,2,0.03,28002,0.03,215.25,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",64,3,0.03,27815,0.03,208.77,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",64,4,0.03,27935,0.03,211.99,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",64,5,0.03,27618,0.03,210.03,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",64,6,0.03,27876,0.03,210.42,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",64,7,0.03,28327,0.03,209.41,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",64,8,0.03,28039,0.03,211.34,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",64,9,0.03,28157,0.03,212.68,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",64,10,0.03,27936,0.03,209.85,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",128,1,0.03,39165,0.03,233.42,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",128,2,0.03,39295,0.03,235.89,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",128,3,0.03,39913,0.03,233.94,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",128,4,0.03,39557,0.03,234.1,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",128,5,0.03,39514,0.03,236.72,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",128,6,0.03,39358,0.03,238,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",128,7,0.03,39085,0.03,234.74,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",128,8,0.03,39937,0.03,233.47,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",128,9,0.03,39092,0.03,234.02,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm16.hgr",128,10,0.03,39481,0.03,235.02,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",2,1,0.03,2631,0.022,46.81,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",2,2,0.03,2438,0.03,47.89,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",2,3,0.03,2436,0.022,47.77,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",2,4,0.03,2327,0.03,48.02,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",2,5,0.03,2407,0.03,48.8,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",2,6,0.03,2575,0.029,48.94,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",2,7,0.03,2513,0.03,50.46,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",2,8,0.03,2400,0.029,48.48,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",2,9,0.03,2435,0.022,47.28,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",2,10,0.03,2392,0.023,45.93,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",4,1,0.03,5996,0.03,91.78,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",4,2,0.03,6171,0.03,91.91,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",4,3,0.03,6906,0.03,91.89,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",4,4,0.03,6101,0.03,92.87,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",4,5,0.03,6602,0.03,90.27,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",4,6,0.03,6767,0.03,89.77,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",4,7,0.03,6445,0.021,93.55,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",4,8,0.03,6043,0.025,91.35,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",4,9,0.03,6946,0.03,91.36,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",4,10,0.03,6173,0.03,92.53,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",8,1,0.03,11259,0.03,131.95,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",8,2,0.03,12345,0.03,131.41,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",8,3,0.03,11186,0.026,131.65,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",8,4,0.03,11161,0.03,132.99,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",8,5,0.03,11575,0.03,129.18,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",8,6,0.03,11184,0.019,128.36,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",8,7,0.03,10693,0.03,132.86,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",8,8,0.03,12160,0.03,132.04,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",8,9,0.03,11370,0.03,130.84,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",8,10,0.03,10744,0.03,132.39,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",16,1,0.03,17094,0.03,167.79,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",16,2,0.03,17786,0.03,167.1,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",16,3,0.03,17288,0.03,167.08,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",16,4,0.03,17814,0.03,169.93,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",16,5,0.03,17683,0.03,163.61,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",16,6,0.03,17894,0.03,164.42,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",16,7,0.03,18619,0.03,171.46,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",16,8,0.03,17596,0.03,164.9,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",16,9,0.03,18437,0.03,168.96,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",16,10,0.03,17089,0.03,169.55,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",32,1,0.03,24591,0.03,202.76,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",32,2,0.03,25042,0.03,201.06,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",32,3,0.03,23659,0.03,200.59,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",32,4,0.03,24480,0.03,197.95,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",32,5,0.03,23909,0.03,197.86,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",32,6,0.03,24532,0.03,198.11,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",32,7,0.03,24802,0.03,203.73,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",32,8,0.03,23811,0.03,202.03,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",32,9,0.03,23890,0.03,201.25,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",32,10,0.03,25014,0.03,203.67,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",64,1,0.03,35352,0.03,232.56,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",64,2,0.03,36748,0.03,233.05,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",64,3,0.03,35016,0.03,231.41,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",64,4,0.03,35501,0.03,233.32,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",64,5,0.03,35469,0.03,230.68,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",64,6,0.03,34473,0.03,229.89,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",64,7,0.03,35041,0.03,236.71,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",64,8,0.03,34949,0.03,229.42,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",64,9,0.03,35913,0.03,230.46,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",64,10,0.03,36147,0.03,230.12,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",128,1,0.03,49861,0.03,255.41,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",128,2,0.03,50051,0.03,256.91,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",128,3,0.03,49529,0.03,262,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",128,4,0.03,49587,0.03,255.65,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",128,5,0.03,50069,0.03,259.85,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",128,6,0.03,49782,0.03,258.85,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",128,7,0.03,49647,0.03,256.88,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",128,8,0.03,49432,0.03,258.61,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",128,9,0.03,50293,0.03,260,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm17.hgr",128,10,0.03,49979,0.03,257.97,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",2,1,0.03,2129,0.024,47.77,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",2,2,0.03,2091,0.024,47.24,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",2,3,0.03,1805,0.03,50.01,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",2,4,0.03,1775,0.03,47.2,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",2,5,0.03,1931,0.022,48.8,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",2,6,0.03,2143,0.029,45.02,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",2,7,0.03,2158,0.006,47.2,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",2,8,0.03,1804,0.018,47.74,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",2,9,0.03,1832,0.03,47.99,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",2,10,0.03,2091,0.014,43.92,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",4,1,0.03,3821,0.03,87.91,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",4,2,0.03,3516,0.03,88.63,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",4,3,0.03,3653,0.03,90.07,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",4,4,0.03,3557,0.025,89.75,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",4,5,0.03,3453,0.029,86.9,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",4,6,0.03,3822,0.015,89.36,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",4,7,0.03,3985,0.027,86.92,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",4,8,0.03,3669,0.023,89.23,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",4,9,0.03,3646,0.03,88.97,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",4,10,0.03,3670,0.025,84.14,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",8,1,0.03,6813,0.03,128.59,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",8,2,0.03,6977,0.03,125.51,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",8,3,0.03,7211,0.03,127.88,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",8,4,0.03,6909,0.03,128.17,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",8,5,0.03,6815,0.03,125.65,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",8,6,0.03,6533,0.03,127.99,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",8,7,0.03,6833,0.03,125.41,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",8,8,0.03,6791,0.03,126.68,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",8,9,0.03,6846,0.03,136.17,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",8,10,0.03,6697,0.03,122.92,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",16,1,0.03,10687,0.03,162.75,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",16,2,0.03,10983,0.03,162.46,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",16,3,0.03,11548,0.03,163.25,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",16,4,0.03,11073,0.03,163.8,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",16,5,0.03,11149,0.03,161.87,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",16,6,0.03,11078,0.03,163.18,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",16,7,0.03,11128,0.03,159.45,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",16,8,0.03,11007,0.03,162.48,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",16,9,0.03,11513,0.03,163.78,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",16,10,0.03,10915,0.03,158.23,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",32,1,0.03,16380,0.03,192.93,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",32,2,0.03,16873,0.03,191.76,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",32,3,0.03,16816,0.03,194.92,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",32,4,0.03,16917,0.03,197.93,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",32,5,0.03,17265,0.03,196.54,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",32,6,0.03,16907,0.03,196.93,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",32,7,0.03,16583,0.03,193.75,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",32,8,0.03,17102,0.03,196.28,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",32,9,0.03,16818,0.03,193.14,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",32,10,0.03,16613,0.03,192.89,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",64,1,0.03,25876,0.03,223.58,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",64,2,0.03,25479,0.03,224.26,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",64,3,0.03,25438,0.03,226.24,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",64,4,0.03,25349,0.03,224.65,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",64,5,0.03,25801,0.03,226.99,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",64,6,0.03,25052,0.03,223.28,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",64,7,0.03,25010,0.03,225.98,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",64,8,0.03,25500,0.03,223.36,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",64,9,0.03,25557,0.03,224.57,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",64,10,0.03,25406,0.03,227.66,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",128,1,0.03,37076,0.03,251.66,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",128,2,0.03,36943,0.03,251.43,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",128,3,0.03,37294,0.03,253.75,"no","no","Zoltan-AlgD","km1",0
"ISPD98_ibm18.hgr",128,4,0.03,37296,0.03,252.81,"no","no","Zoltan-AlgD","km1",0
