"graph","k","seed","epsilon","km1","imbalance","totalPartitionTime","failed","timeout","algorithm","objective","cut"
"192bit.mtx.hgr",64,2,0.03,58197,0.029,18.78,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",64,3,0.03,58265,0.029,19.99,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",64,4,0.03,58248,0.029,19.96,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",64,5,0.03,58186,0.029,19.84,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",64,6,0.03,58303,0.029,19.59,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",64,7,0.03,58220,0.029,21.01,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",64,8,0.03,58132,0.029,20.12,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",64,9,0.03,58219,0.029,19.53,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",64,10,0.03,58226,0.029,19.87,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",128,1,0.03,68920,0.029,22.6,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",128,2,0.03,68911,0.029,22.31,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",128,3,0.03,68863,0.029,22.48,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",128,4,0.03,68889,0.029,23.07,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",128,5,0.03,68883,0.029,21.76,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",128,6,0.03,68934,0.029,21.81,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",128,7,0.03,68902,0.029,22.27,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",128,8,0.03,68878,0.029,21.91,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",128,9,0.03,68871,0.029,21.58,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",128,10,0.03,69007,0.029,22.35,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",2,1,0.03,4073,0.03,49.1,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",2,2,0.03,4007,0.03,51.28,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",2,3,0.03,4036,0.022,46.07,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",2,4,0.03,4163,0.01,49.06,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",2,5,0.03,4005,0.03,52.19,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",2,6,0.03,4029,0.03,49.81,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",2,7,0.03,4023,0.03,47.89,"no","no","Zoltan-AlgD","km1",0
"2cubes_sphere.mtx.hgr",2,8,0.03,3939,0.03,52.62,"no","no","Zoltan-AlgD","km1",0
