"graph","k","epsilon","seed","km1","imbalance","totalPartitionTime","objective","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",64,0.03,9,58554,0,99.459,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",64,0.03,10,58628,0,94.134,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",128,0.03,1,69024,0,95.189,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",128,0.03,2,69045,0,98.036,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",128,0.03,3,69035,0,97.155,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",128,0.03,4,68999,0,98.752,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",128,0.03,5,69059,0,95.392,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",128,0.03,6,69054,0,100.055,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",128,0.03,7,69040,0,101.687,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",128,0.03,8,69054,0,105.135,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",128,0.03,9,68979,0,101.843,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",128,0.03,10,69029,0,100.937,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,1,3958,0.0295195680448,36.661,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,2,3938,0.0280219130572,48.332,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,3,3959,0.0299530997517,37.146,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,4,3944,0.0291057423245,39.272,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,5,3946,0.0276080873369,36.366,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,6,3944,0.0299136877783,36.34,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,7,3941,0.0299925117251,43.38,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,8,3973,0.026622788003,38.766,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,9,3933,0.0294013321247,36.368,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,10,3961,0.0265439640563,47.539,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,1,10988,0.0183659795846,70.391,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,2,11063,0.0268395538565,75.486,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,3,10948,0.0257754305758,72.637,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,4,11042,0.0275883813503,68.41,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,5,10930,0.0257754305758,71.655,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,6,10923,0.029874275805,79.509,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,7,11043,0.0253813108422,70.988,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,8,11035,0.0280219130572,80.123,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,9,11071,0.0237260079612,81.961,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,10,11055,0.0238836558546,68.079,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,1,19583,0.0118231260345,98.178,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,2,19370,0.0286119650035,115.191,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,3,19370,0.0200204934185,116.631,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,4,19379,0.019862851738,100.74,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,5,19505,0.0244344604713,112.612,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,6,19553,0.0163947347679,106.934,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,7,19457,0.0251438480334,108.67,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,8,19426,0.0215180893828,107.753,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,9,19465,0.0187593599748,103.51,"km1","hMetis-R","no","no",0
