"graph","k","epsilon","seed","km1","imbalance","totalPartitionTime","objective","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",64,0.03,8,63990,0,1.135276,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",64,0.03,9,63808,0,1.053988,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",64,0.03,10,64206,0,1.091864,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",128,0.03,1,0,1,0,"km1","Mondriaan","yes","no",0
"192bit.mtx.hgr",128,0.03,2,0,1,0,"km1","Mondriaan","yes","no",0
"192bit.mtx.hgr",128,0.03,3,0,1,0,"km1","Mondriaan","yes","no",0
"192bit.mtx.hgr",128,0.03,4,0,1,0,"km1","Mondriaan","yes","no",0
"192bit.mtx.hgr",128,0.03,5,0,1,0,"km1","Mondriaan","yes","no",0
"192bit.mtx.hgr",128,0.03,6,0,1,0,"km1","Mondriaan","yes","no",0
"192bit.mtx.hgr",128,0.03,7,0,1,0,"km1","Mondriaan","yes","no",0
"192bit.mtx.hgr",128,0.03,8,0,1,0,"km1","Mondriaan","yes","no",0
"192bit.mtx.hgr",128,0.03,9,0,1,0,"km1","Mondriaan","yes","no",0
"192bit.mtx.hgr",128,0.03,10,0,1,0,"km1","Mondriaan","yes","no",0
"2cubes_sphere.mtx.hgr",2,0.03,1,3949,0.0299728,1.451559,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,2,3982,0.0296378,1.465066,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,3,3978,0.0286131,1.421845,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,4,3971,0.029756,1.419031,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,5,3962,0.0266622,1.431003,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,6,3979,0.0298743,1.541122,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,7,4016,0.0299925,1.516399,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,8,4043,0.0298152,1.372388,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,9,3987,0.0291254,1.421324,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,10,3983,0.0290269,1.374081,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,1,11529,0.0290466,2.926894,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,2,11390,0.0295196,2.860971,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,3,11093,0.0293619,2.875489,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,4,10990,0.0296378,2.931105,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,5,11192,0.0297955,2.813338,"km1","Mondriaan","no","no",0
