"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",32,0.03,8,"kMinusOne",47803,0.0257009345794,0.376,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,9,"kMinusOne",47808,0.0280373831776,0.324,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,10,"kMinusOne",47770,0.0257009345794,0.339,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,1,"kMinusOne",58338,0.0280373831776,0.362,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,2,"kMinusOne",58305,0.0280373831776,0.375,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,3,"kMinusOne",58303,0.0280373831776,0.374,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,4,"kMinusOne",58393,0.0280373831776,0.388,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,5,"kMinusOne",58414,0.0280373831776,0.391,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,6,"kMinusOne",58334,0.0280373831776,0.372,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,7,"kMinusOne",58250,0.0280373831776,0.374,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,8,"kMinusOne",58381,0.0280373831776,0.42,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,9,"kMinusOne",58288,0.0280373831776,0.399,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,10,"kMinusOne",58305,0.0280373831776,0.382,"PaToH-D","no","no",0
"192bit.mtx.hgr",128,0.03,1,"kMinusOne",68940,0.018691588785,0.41,"PaToH-D","no","no",0
"192bit.mtx.hgr",128,0.03,2,"kMinusOne",68963,0.018691588785,0.407,"PaToH-D","no","no",0
"192bit.mtx.hgr",128,0.03,3,"kMinusOne",68899,0.018691588785,0.41,"PaToH-D","no","no",0
"192bit.mtx.hgr",128,0.03,4,"kMinusOne",68892,0.018691588785,0.403,"PaToH-D","no","no",0
"192bit.mtx.hgr",128,0.03,5,"kMinusOne",68871,0.018691588785,0.435,"PaToH-D","no","no",0
"192bit.mtx.hgr",128,0.03,6,"kMinusOne",68917,0.018691588785,0.414,"PaToH-D","no","no",0
"192bit.mtx.hgr",128,0.03,7,"kMinusOne",68913,0.018691588785,0.415,"PaToH-D","no","no",0
"192bit.mtx.hgr",128,0.03,8,"kMinusOne",68915,0.018691588785,0.449,"PaToH-D","no","no",0
"192bit.mtx.hgr",128,0.03,9,"kMinusOne",68930,0.018691588785,0.437,"PaToH-D","no","no",0
"192bit.mtx.hgr",128,0.03,10,"kMinusOne",68951,0.018691588785,0.43,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,1,"kMinusOne",4014,0.0206518740393,0.534,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,2,"kMinusOne",4002,0.0237457139479,0.445,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,3,"kMinusOne",4007,0.019568044772,0.459,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,4,"kMinusOne",4022,0.0191345130651,0.463,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,5,"kMinusOne",4146,0.0152918456627,0.44,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,6,"kMinusOne",3988,0.0188192172782,0.456,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,7,"kMinusOne",4034,0.014661254089,0.454,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,8,"kMinusOne",4004,0.0164347928901,0.461,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,9,"kMinusOne",4107,0.0169077365704,0.469,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,10,"kMinusOne",4048,0.0176368580775,0.451,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,1,"kMinusOne",11389,0.00244354234817,0.898,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,2,"kMinusOne",11263,0.0138730146218,0.867,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,3,"kMinusOne",11686,3.94119733576e-05,0.857,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,4,"kMinusOne",11288,0.015764789343,0.869,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,5,"kMinusOne",11099,0.00220707050802,0.85,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,6,"kMinusOne",11209,0.00465061285619,0.856,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,7,"kMinusOne",11359,0,0.863,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,8,"kMinusOne",11459,0.00433531706933,0.864,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,9,"kMinusOne",11339,0.0144247822488,0.848,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,10,"kMinusOne",11167,0.0013005951208,0.853,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,1,"kMinusOne",19856,7.88208402303e-05,1.266,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,2,"kMinusOne",20198,7.88208402303e-05,1.267,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,3,"kMinusOne",19629,7.88208402303e-05,1.27,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,4,"kMinusOne",20377,0.000945850082762,1.261,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,5,"kMinusOne",20339,0.00859147158509,1.267,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,6,"kMinusOne",19961,0,1.274,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,7,"kMinusOne",19923,0,1.256,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,8,"kMinusOne",19966,7.88208402303e-05,1.26,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,9,"kMinusOne",20130,0.00409868369197,1.266,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,10,"kMinusOne",20450,0,1.26,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,1,"kMinusOne",29497,0.00015762925599,1.651,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,2,"kMinusOne",30011,0.00535939470366,1.658,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,3,"kMinusOne",29246,0.00378310214376,1.65,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,4,"kMinusOne",29922,0.00551702395965,1.661,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,5,"kMinusOne",29804,0.00331021437579,1.68,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,6,"kMinusOne",30073,0.00236443883985,1.67,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,7,"kMinusOne",29764,0.00693568726356,1.678,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,8,"kMinusOne",29753,0.00441361916772,1.666,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,9,"kMinusOne",29645,0.000945775535939,1.668,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,10,"kMinusOne",29813,0.00583228247163,1.666,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,1,"kMinusOne",41106,0.00126103404792,2.076,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,2,"kMinusOne",41604,0.00189155107188,2.073,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,3,"kMinusOne",41303,0.0047288776797,2.094,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,4,"kMinusOne",41937,0.00662042875158,2.077,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,5,"kMinusOne",41196,0.00441361916772,2.054,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,6,"kMinusOne",41709,0.00283732660782,2.077,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,7,"kMinusOne",41592,0.00252206809584,2.078,"PaToH-D","no","no",0
"2cubes_sphere.mtx.hgr",32,0.03,8,"kMinusOne",41333,0.00851197982346,2.069,"PaToH-D","no","no",0
