"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",32,0.03,10,"km1",47554,0.0289999999999999,39.95,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",64,0.03,1,"km1",58169,0.0289999999999999,46.32,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",64,0.03,2,"km1",58197,0.0289999999999999,43.24,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",64,0.03,3,"km1",58265,0.0289999999999999,46.7,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",64,0.03,4,"km1",58248,0.0289999999999999,45.85,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",64,0.03,5,"km1",58186,0.0289999999999999,45.73,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",64,0.03,6,"km1",58303,0.0289999999999999,45.01,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",64,0.03,7,"km1",58220,0.0289999999999999,48.81,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",64,0.03,8,"km1",58132,0.0289999999999999,46.26,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",64,0.03,9,"km1",58219,0.0289999999999999,45.21,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",64,0.03,10,"km1",58226,0.0289999999999999,45.81,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",128,0.03,1,"km1",68920,0.0289999999999999,52.92,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",128,0.03,2,"km1",68911,0.0289999999999999,52.45,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",128,0.03,3,"km1",68863,0.0289999999999999,52.27,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",128,0.03,4,"km1",68889,0.0289999999999999,53.97,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",128,0.03,5,"km1",68883,0.0289999999999999,51,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",128,0.03,6,"km1",68934,0.0289999999999999,50.89,"Zoltan-AlgD","no","no",0
