,graph,k,epsilon,km1,imbalance,objective,totalPartitionTime,algorithm,failed,timeout,cut
55,af23560.mtx.hgr,128,0.03,70192,0.0,km1,0.188,HYPE,no,no,0
56,airfoil_2d.mtx.hgr,2,0.03,3350,0.0,km1,0.099,HYPE,no,no,0
57,airfoil_2d.mtx.hgr,4,0.03,5451,0.0,km1,0.099,HYPE,no,no,0
58,airfoil_2d.mtx.hgr,8,0.03,7724,0.0,km1,0.10099999999999999,HYPE,no,no,0
59,airfoil_2d.mtx.hgr,16,0.03,9445,0.0,km1,0.099,HYPE,no,no,0
60,airfoil_2d.mtx.hgr,32,0.03,12229,0.0,km1,0.1,HYPE,no,no,0
61,airfoil_2d.mtx.hgr,64,0.03,15565,0.0,km1,0.1,HYPE,no,no,0
62,airfoil_2d.mtx.hgr,128,0.03,20997,0.0,km1,0.098,HYPE,no,no,0
63,Andrews.mtx.hgr,2,0.03,38549,0.0,km1,0.598,HYPE,no,no,0
64,Andrews.mtx.hgr,4,0.03,86756,0.0,km1,0.588,HYPE,no,no,0
65,Andrews.mtx.hgr,8,0.03,145657,0.0,km1,0.602,HYPE,no,no,0
66,Andrews.mtx.hgr,16,0.03,186267,0.0,km1,0.579,HYPE,no,no,0
67,Andrews.mtx.hgr,32,0.03,232115,0.0,km1,0.581,HYPE,no,no,0
68,Andrews.mtx.hgr,64,0.03,269655,0.0,km1,0.585,HYPE,no,no,0
69,Andrews.mtx.hgr,128,0.03,298788,0.0,km1,0.586,HYPE,no,no,0
70,appu.mtx.hgr,2,0.03,13958,0.0,km1,1.508,HYPE,no,no,0
71,appu.mtx.hgr,4,0.03,41827,0.0,km1,1.5190000000000001,HYPE,no,no,0
72,appu.mtx.hgr,8,0.03,97439,0.0,km1,1.506,HYPE,no,no,0
73,appu.mtx.hgr,16,0.03,207835,0.0,km1,1.51,HYPE,no,no,0
74,appu.mtx.hgr,32,0.03,416494,0.0,km1,1.4280000000000002,HYPE,no,no,0
75,appu.mtx.hgr,64,0.03,738312,0.00456621,km1,1.4169999999999998,HYPE,no,no,0
76,appu.mtx.hgr,128,0.03,1092364,0.00909091,km1,1.423,HYPE,no,no,0
77,as-22july06.mtx.hgr,2,0.03,2742,0.0,km1,0.09300000000000001,HYPE,no,no,0
78,as-22july06.mtx.hgr,4,0.03,6141,0.0,km1,0.094,HYPE,no,no,0
79,as-22july06.mtx.hgr,8,0.03,9135,0.0,km1,0.095,HYPE,no,no,0
80,as-22july06.mtx.hgr,16,0.03,11706,0.0,km1,0.095,HYPE,no,no,0
81,as-22july06.mtx.hgr,32,0.03,14792,0.0,km1,0.095,HYPE,no,no,0
82,as-22july06.mtx.hgr,64,0.03,17549,0.0,km1,0.094,HYPE,no,no,0
83,as-22july06.mtx.hgr,128,0.03,21400,0.0,km1,0.092,HYPE,no,no,0
84,as-caida.mtx.hgr,2,0.03,2969,0.0,km1,0.11,HYPE,no,no,0
85,as-caida.mtx.hgr,4,0.03,6480,0.0,km1,0.11,HYPE,no,no,0
86,as-caida.mtx.hgr,8,0.03,9833,0.0,km1,0.111,HYPE,no,no,0
87,as-caida.mtx.hgr,16,0.03,13835,0.0,km1,0.11699999999999999,HYPE,no,no,0
88,as-caida.mtx.hgr,32,0.03,16287,0.0,km1,0.16699999999999998,HYPE,no,no,0
89,as-caida.mtx.hgr,64,0.03,20215,0.0,km1,0.109,HYPE,no,no,0
90,as-caida.mtx.hgr,128,0.03,23589,0.0,km1,0.107,HYPE,no,no,0
91,astro-ph.mtx.hgr,2,0.03,7114,0.0,km1,0.11800000000000001,HYPE,no,no,0
92,astro-ph.mtx.hgr,4,0.03,15909,0.0,km1,0.121,HYPE,no,no,0
93,astro-ph.mtx.hgr,8,0.03,25893,0.0,km1,0.121,HYPE,no,no,0
94,astro-ph.mtx.hgr,16,0.03,38821,0.0,km1,0.122,HYPE,no,no,0
95,astro-ph.mtx.hgr,32,0.03,52055,0.0,km1,0.121,HYPE,no,no,0
96,astro-ph.mtx.hgr,64,0.03,63911,0.0,km1,0.121,HYPE,no,no,0
97,astro-ph.mtx.hgr,128,0.03,74916,0.0,km1,0.12,HYPE,no,no,0
98,atmosmodj.mtx.hgr,2,0.03,92528,0.0,km1,8.831,HYPE,no,no,0
99,atmosmodj.mtx.hgr,4,0.03,154402,0.0,km1,8.954,HYPE,no,no,0
100,atmosmodj.mtx.hgr,8,0.03,239625,0.0,km1,8.857000000000001,HYPE,no,no,0
101,atmosmodj.mtx.hgr,16,0.03,378624,0.0,km1,8.684,HYPE,no,no,0
102,atmosmodj.mtx.hgr,32,0.03,594870,0.0,km1,8.325,HYPE,no,no,0
