"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",32,0.03,7,"kMinusOne",47461,0.0163551401869,2.878,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,8,"kMinusOne",47486,0.0163551401869,2.784,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,9,"kMinusOne",47470,0.0163551401869,2.612,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,10,"kMinusOne",47448,0.0163551401869,2.894,"PaToH-Q","no","no",0
"192bit.mtx.hgr",64,0.03,1,"kMinusOne",58061,0.0140186915888,3.086,"PaToH-Q","no","no",0
"192bit.mtx.hgr",64,0.03,2,"kMinusOne",58057,0.0140186915888,3.235,"PaToH-Q","no","no",0
"192bit.mtx.hgr",64,0.03,3,"kMinusOne",58085,0.0140186915888,3.085,"PaToH-Q","no","no",0
"192bit.mtx.hgr",64,0.03,4,"kMinusOne",58121,0.0140186915888,3.23,"PaToH-Q","no","no",0
"192bit.mtx.hgr",64,0.03,5,"kMinusOne",58048,0.0140186915888,3.063,"PaToH-Q","no","no",0
"192bit.mtx.hgr",64,0.03,6,"kMinusOne",58094,0.0140186915888,3.187,"PaToH-Q","no","no",0
"192bit.mtx.hgr",64,0.03,7,"kMinusOne",58162,0.0140186915888,3.219,"PaToH-Q","no","no",0
"192bit.mtx.hgr",64,0.03,8,"kMinusOne",58062,0.0140186915888,3.175,"PaToH-Q","no","no",0
"192bit.mtx.hgr",64,0.03,9,"kMinusOne",58040,0.0140186915888,3.27,"PaToH-Q","no","no",0
"192bit.mtx.hgr",64,0.03,10,"kMinusOne",58096,0.0140186915888,3.124,"PaToH-Q","no","no",0
"192bit.mtx.hgr",128,0.03,1,"kMinusOne",68485,0.018691588785,3.437,"PaToH-Q","no","no",0
"192bit.mtx.hgr",128,0.03,2,"kMinusOne",68548,0.018691588785,3.658,"PaToH-Q","no","no",0
"192bit.mtx.hgr",128,0.03,3,"kMinusOne",68501,0.018691588785,3.313,"PaToH-Q","no","no",0
"192bit.mtx.hgr",128,0.03,4,"kMinusOne",68461,0.018691588785,3.566,"PaToH-Q","no","no",0
"192bit.mtx.hgr",128,0.03,5,"kMinusOne",68509,0.018691588785,3.319,"PaToH-Q","no","no",0
"192bit.mtx.hgr",128,0.03,6,"kMinusOne",68526,0.018691588785,3.392,"PaToH-Q","no","no",0
"192bit.mtx.hgr",128,0.03,7,"kMinusOne",68509,0.018691588785,3.528,"PaToH-Q","no","no",0
"192bit.mtx.hgr",128,0.03,8,"kMinusOne",68489,0.018691588785,3.607,"PaToH-Q","no","no",0
"192bit.mtx.hgr",128,0.03,9,"kMinusOne",68583,0.018691588785,3.503,"PaToH-Q","no","no",0
"192bit.mtx.hgr",128,0.03,10,"kMinusOne",68472,0.018691588785,3.565,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,1,"kMinusOne",4045,0.00867063413865,2.808,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,2,"kMinusOne",4050,0.00717297915107,2.437,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,3,"kMinusOne",4008,0.0141883104087,2.511,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,4,"kMinusOne",4008,0.00849328025854,2.456,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,5,"kMinusOne",4030,0.00539944034998,2.354,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,6,"kMinusOne",4000,0.0141488984353,2.55,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,7,"kMinusOne",4036,0.0101879951129,2.476,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,8,"kMinusOne",4043,0.00476884877626,2.46,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,9,"kMinusOne",3992,0.00711386119103,2.446,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,10,"kMinusOne",4023,0.0113900603003,2.464,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,1,"kMinusOne",11210,0.000354707760218,4.909,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,2,"kMinusOne",11004,0,4.702,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,3,"kMinusOne",11176,0.00327119378867,4.695,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,4,"kMinusOne",11039,0,4.805,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,5,"kMinusOne",11085,0.00271942616167,4.689,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,6,"kMinusOne",11189,0.00177353880109,4.73,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,7,"kMinusOne",11246,0.00275883813503,4.758,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,8,"kMinusOne",11202,0,4.813,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,9,"kMinusOne",11287,0.000551767627005,4.701,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,10,"kMinusOne",11016,0,4.805,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,1,"kMinusOne",19568,0,7.359,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,2,"kMinusOne",19557,0,6.981,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,3,"kMinusOne",19499,7.88208402303e-05,6.837,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,4,"kMinusOne",19772,0,6.899,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,5,"kMinusOne",19710,0.00197052100575,7.078,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,6,"kMinusOne",19528,0,7.086,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,7,"kMinusOne",19708,0,7.204,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,8,"kMinusOne",19564,0,7.157,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,9,"kMinusOne",19459,0,6.937,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,10,"kMinusOne",19730,0.000630566721841,7.082,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,1,"kMinusOne",29119,0,9.087,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,2,"kMinusOne",29174,0,9.38,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,3,"kMinusOne",29287,0,8.889,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,4,"kMinusOne",28907,0,9.351,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,5,"kMinusOne",29070,0,9.224,"PaToH-Q","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,6,"kMinusOne",29012,0,8.886,"PaToH-Q","no","no",0
