algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-R,AS365.graph.hgr,no,9,64,0.03,1,0.0286706,742.262,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,10,8,0.03,1,0.0227959,905.317,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,1,8,0.03,1,0.0227959,908.035,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,2,8,0.03,1,0.0227959,908.654,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,3,8,0.03,1,0.0227959,908.143,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,4,8,0.03,1,0.0227959,908.931,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,5,8,0.03,1,0.0227959,904.871,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,6,8,0.03,1,0.0227959,905.812,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,7,8,0.03,1,0.0227959,904.286,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,8,8,0.03,1,0.0227959,904.157,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,9,8,0.03,1,0.0227959,904.948,km1,12188,12188,no
KaHyPar-R,asia.osm.graph.hgr,no,10,128,0.03,1,0.029861,1638.37,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,1,128,0.03,1,0.029861,2250.58,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,2,128,0.03,1,0.029861,2257.61,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,3,128,0.03,1,0.029861,2249.86,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,4,128,0.03,1,0.029861,2263.09,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,5,128,0.03,1,0.029861,1622.43,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,6,128,0.03,1,0.029861,1628.33,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,7,128,0.03,1,0.029861,1622.22,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,8,128,0.03,1,0.029861,1628.35,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,9,128,0.03,1,0.029861,1633.89,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,10,16,0.03,1,0.0278302,1584.99,km1,124,124,no
KaHyPar-R,asia.osm.graph.hgr,no,1,16,0.03,1,0.0278302,1139.26,km1,124,124,no
KaHyPar-R,asia.osm.graph.hgr,no,2,16,0.03,1,0.0278302,1141.55,km1,124,124,no
KaHyPar-R,asia.osm.graph.hgr,no,3,16,0.03,1,0.0278302,1142.45,km1,124,124,no
KaHyPar-R,asia.osm.graph.hgr,no,4,16,0.03,1,0.0278302,1143.34,km1,124,124,no
