algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaFFPa-StrongS,AS365.graph,no,9,4,0.03,1,0.021689999999999987,3317.29,km1,6705,6705,no
KaFFPa-StrongS,AS365.graph,no,10,64,0.03,1,0.029970000000000052,692.131,km1,47372,47372,no
KaFFPa-StrongS,AS365.graph,no,1,64,0.03,1,0.029919999999999947,915.803,km1,47165,47165,no
KaFFPa-StrongS,AS365.graph,no,2,64,0.03,1,0.029970000000000052,988.872,km1,47309,47309,no
KaFFPa-StrongS,AS365.graph,no,3,64,0.03,1,0.029970000000000052,707.037,km1,47303,47303,no
KaFFPa-StrongS,AS365.graph,no,4,64,0.03,1,0.029970000000000052,793.959,km1,47799,47799,no
KaFFPa-StrongS,AS365.graph,no,5,64,0.03,1,0.029970000000000052,699.493,km1,47391,47391,no
KaFFPa-StrongS,AS365.graph,no,6,64,0.03,1,0.029970000000000052,677.385,km1,46970,46970,no
KaFFPa-StrongS,AS365.graph,no,7,64,0.03,1,0.029970000000000052,820.763,km1,47208,47208,no
KaFFPa-StrongS,AS365.graph,no,8,64,0.03,1,0.02994999999999992,730.941,km1,46934,46934,no
KaFFPa-StrongS,AS365.graph,no,9,64,0.03,1,0.029919999999999947,729.313,km1,47085,47085,no
KaFFPa-StrongS,AS365.graph,no,10,8,0.03,1,0.027760000000000007,5662.05,km1,12020,12020,no
KaFFPa-StrongS,AS365.graph,no,1,8,0.03,1,0.029020000000000046,5527.16,km1,12147,12147,no
KaFFPa-StrongS,AS365.graph,no,2,8,0.03,1,0.02699000000000007,5638.47,km1,12120,12120,no
KaFFPa-StrongS,AS365.graph,no,3,8,0.03,1,0.026980000000000004,5605.22,km1,12191,12191,no
KaFFPa-StrongS,AS365.graph,no,4,8,0.03,1,0.026070000000000038,5776.96,km1,12393,12393,no
KaFFPa-StrongS,AS365.graph,no,5,8,0.03,1,0.029889999999999972,5677.37,km1,12200,12200,no
KaFFPa-StrongS,AS365.graph,no,6,8,0.03,1,0.028839999999999977,5578.07,km1,12124,12124,no
KaFFPa-StrongS,AS365.graph,no,7,8,0.03,1,0.02980000000000005,5678.97,km1,11942,11942,no
KaFFPa-StrongS,AS365.graph,no,8,8,0.03,1,0.02980000000000005,5619.95,km1,12131,12131,no
KaFFPa-StrongS,AS365.graph,no,9,8,0.03,1,0.028240000000000043,5530.31,km1,12144,12144,no
KaFFPa-StrongS,asia.osm.graph,no,10,128,0.03,1,0.03326000000000007,451.226,km1,953,953,no
KaFFPa-StrongS,asia.osm.graph,no,1,128,0.03,1,0.029979999999999896,434.581,km1,950,950,no
KaFFPa-StrongS,asia.osm.graph,no,2,128,0.03,1,0.03793000000000002,438.038,km1,959,959,no
KaFFPa-StrongS,asia.osm.graph,no,3,128,0.03,1,0.029979999999999896,329.032,km1,935,935,no
KaFFPa-StrongS,asia.osm.graph,no,4,128,0.03,1,0.029979999999999896,332.609,km1,920,920,no
KaFFPa-StrongS,asia.osm.graph,no,5,128,0.03,1,0.029979999999999896,370.186,km1,931,931,no
KaFFPa-StrongS,asia.osm.graph,no,6,128,0.03,1,0.043199999999999905,361.822,km1,948,948,no
KaFFPa-StrongS,asia.osm.graph,no,7,128,0.03,1,0.029979999999999896,301.153,km1,926,926,no
KaFFPa-StrongS,asia.osm.graph,no,8,128,0.03,1,0.031360000000000054,341.805,km1,959,959,no
KaFFPa-StrongS,asia.osm.graph,no,9,128,0.03,1,0.029979999999999896,447.158,km1,919,919,no
KaFFPa-StrongS,asia.osm.graph,no,10,16,0.03,1,0.030000000000000027,1471.03,km1,125,125,no
KaFFPa-StrongS,asia.osm.graph,no,1,16,0.03,1,0.02671000000000001,1125.81,km1,132,132,no
KaFFPa-StrongS,asia.osm.graph,no,2,16,0.03,1,0.029849999999999932,1050.92,km1,122,122,no
KaFFPa-StrongS,asia.osm.graph,no,3,16,0.03,1,0.030000000000000027,1086.26,km1,122,122,no
KaFFPa-StrongS,asia.osm.graph,no,4,16,0.03,1,0.02899000000000007,1113.13,km1,122,122,no
KaFFPa-StrongS,asia.osm.graph,no,5,16,0.03,1,0.027570000000000094,1054.38,km1,124,124,no
KaFFPa-StrongS,asia.osm.graph,no,6,16,0.03,1,0.030000000000000027,1073.52,km1,125,125,no
